Time;Status;CO2;Temperature;Humidity;Pressure;Photo;Battery;HWVersion;SWVersion;rssi
2023-06-06 13:37:06.308298;0;510;2660;3446;9667643;17000;4756;2;5;-87
2023-06-06 13:37:22.182807;1;510;2660;3447;9667360;17070;4755;2;5;-83
2023-06-06 13:37:42.402963;2;509;2659;3440;9667014;17102;4755;2;5;-85
2023-06-06 13:37:58.261256;3;508;2660;3430;9666936;17128;4754;2;5;-85
2023-06-06 13:38:13.363883;4;507;2659;3421;9666826;17144;4755;2;5;-85
2023-06-06 13:41:39.398819;0;494;2656;3345;9666580;17068;4754;2;5;-82
2023-06-06 13:41:45.201332;1;493;2657;3338;9666833;17112;4756;2;5;-82
2023-06-06 13:42:26.325205;3;491;2656;3329;9666922;17080;4756;2;5;-95
2023-06-06 13:43:00.309058;6;488;2656;3315;9666925;17068;4755;2;5;-86
2023-06-06 13:45:07.320330;13;486;2655;3299;9666778;17092;4755;2;5;-82
2023-06-06 13:45:12.363831;14;486;2655;3285;9666857;17094;4753;2;5;-96
2023-06-06 13:54:28.312051;0;469;2652;3127;9665462;17158;4754;2;5;-89
2023-06-06 13:54:33.358510;1;469;2652;3133;9665660;17140;4754;2;5;-95
2023-06-06 13:54:49.291297;2;468;2652;3135;9665301;17058;4754;2;5;-85
2023-06-06 13:57:54.298621;13;466;2655;3136;9665309;17264;4756;2;5;-86
2023-06-06 14:05:10.318777;8;472;2664;3125;9665063;17116;4752;2;5;-81
2023-06-06 14:13:40.324377;8;539;2766;2882;9664541;17874;4752;2;5;-80
2023-06-06 14:14:59.363311;13;473;2748;2858;9664592;17918;4754;2;5;-85
2023-06-06 14:20:08.332635;0;452;2702;2927;9664512;18146;4756;2;5;-92
2023-06-06 14:20:18.436385;1;452;2701;2929;9664256;18080;4757;2;5;-81
2023-06-06 14:21:29.391390;5;447;2694;2932;9664209;18170;4756;2;5;-77
2023-06-06 14:23:07.327581;11;445;2688;2940;9664308;18098;4755;2;5;-83
2023-06-06 14:26:35.434117;8;446;2678;2987;9663939;18154;4756;2;5;-82
2023-06-06 14:26:46.289963;9;446;2678;2988;9663772;18078;4756;2;5;-80
2023-06-06 14:28:07.323592;14;448;2675;3001;9664445;18184;4753;2;5;-88
2023-06-06 14:28:23.203988;15;449;2675;3003;9664404;18172;4753;2;5;-79
2023-06-06 14:41:14.321863;15;456;2661;3078;9661991;18252;4757;2;5;-82
2023-06-06 14:43:47.433149;8;462;2661;3065;9662312;18158;4752;2;5;-81
2023-06-06 14:44:24.547883;10;466;2668;3099;9662268;17586;4754;2;5;-85
2023-06-06 14:44:30.197892;11;467;2674;3099;9662114;18286;4753;2;5;-92
2023-06-06 14:46:02.300924;1;468;2704;3029;9661544;18250;4753;2;5;-75
2023-06-06 14:46:38.325219;3;468;2704;3017;9661718;18330;4752;2;5;-76
2023-06-06 15:12:36.446472;4;485;2674;3041;9661300;18476;4756;2;5;-77
2023-06-06 15:12:52.338247;5;484;2675;3040;9661464;18486;4756;2;5;-73
2023-06-06 15:42:31.384020;3;448;2675;2984;9661047;18554;4754;2;5;-75
